turn_index,conversation_text,task_id,task_source,task_text,raw_task_text,symptoms_raw,symptoms_normalized,unmatched_symptoms
1,I am 47 years old and my name is Carlos. I weigh 102 kg and I am 1.74 m tall.,1,llm,"Book a full cardio-metabolic panel this week: BMI 33.7 without any recorded labs (HbA1c, lipids, BP) means silent prediabetes and atherogenic risk could already be advanced at 47 y","[LLM] Book a full cardio-metabolic panel this week: BMI 33.7 without any recorded labs (HbA1c, lipids, BP) means silent prediabetes and atherogenic risk could already be advanced at 47 y",[],[],[]
2,"My doctor told me last week that I have high blood pressure, around 155 over 95.",2,rule,Seek hypertension evaluation: systolic BP ≥140 mmHg,Seek hypertension evaluation: systolic BP ≥140 mmHg,[],[],[]
2,"My doctor told me last week that I have high blood pressure, around 155 over 95.",3,llm,"Ask your GP for a 24-hour ambulatory BP monitor: a single clinic reading of 155/95 can over-estimate risk by ≥20 mmHg in obese men, so confirm true stage-2 hypertension before starting medication.","[LLM] Ask your GP for a 24-hour ambulatory BP monitor: a single clinic reading of 155/95 can over-estimate risk by ≥20 mmHg in obese men, so confirm true stage-2 hypertension before starting medication.",[],[],[]
3,I was recently diagnosed with type 2 diabetes. My HbA1c came back at 8.3 percent.,4,rule,Consult your doctor: HbA1c above 6.5% — diabetes screening recommended,Consult your doctor: HbA1c above 6.5% — diabetes screening recommended,[],[],[]
3,I was recently diagnosed with type 2 diabetes. My HbA1c came back at 8.3 percent.,5,rule,Schedule endocrinology review: HbA1c above target (>7%) for diabetic patient,Schedule endocrinology review: HbA1c above target (>7%) for diabetic patient,[],[],[]
3,I was recently diagnosed with type 2 diabetes. My HbA1c came back at 8.3 percent.,6,llm,"Ask your GP for a 24-hour urine micro-albumin test: HbA1c 8.3% plus BP 155/95 already puts you at high risk of early diabetic nephropathy, and catching it before eGFR falls allows ACE-inhibitor nephro-protection.","[LLM] Ask your GP for a 24-hour urine micro-albumin test: HbA1c 8.3% plus BP 155/95 already puts you at high risk of early diabetic nephropathy, and catching it before eGFR falls allows ACE-inhibitor nephro-protection.",[],[],[]
4,"I smoke about half a pack a day, maybe 10 cigarettes. I have been smoking for 20 years.",7,rule,Enrol in a smoking cessation programme to significantly reduce cardiovascular risk,Enrol in a smoking cessation programme to significantly reduce cardiovascular risk,[],[],[]
4,"I smoke about half a pack a day, maybe 10 cigarettes. I have been smoking for 20 years.",8,llm,Ask your GP to add a once-daily 75 mg aspirin script after reviewing your 10-pack-year smoking history plus uncontrolled diabetes and stage-2 hypertension; this trio already pushes your 10-year MI/stroke risk well above 15 % and low-dose aspirin is indicated for primary prevention in this high-risk profile.,[LLM] Ask your GP to add a once-daily 75 mg aspirin script after reviewing your 10-pack-year smoking history plus uncontrolled diabetes and stage-2 hypertension; this trio already pushes your 10-year MI/stroke risk well above 15 % and low-dose aspirin is indicated for primary prevention in this high-risk profile.,[],[],[]
5,I usually sleep around 5 hours a night because of work stress. I feel exhausted all the time.,9,rule,Try to get more sleep to reduce blood pressure,Try to get more sleep to reduce blood pressure,[],[],[]
5,I usually sleep around 5 hours a night because of work stress. I feel exhausted all the time.,10,llm,"Ask your GP for a 7-day continuous glucose-monitoring (CGM) prescription: 5-hour nightly sleep plus work stress can trigger dawn-phenomenon hyperglycaemia that an 8.3% HbA1c might underestimate, and CGM will reveal if morning spikes need bedtime basal-insulin adjustment.","[LLM] Ask your GP for a 7-day continuous glucose-monitoring (CGM) prescription: 5-hour nightly sleep plus work stress can trigger dawn-phenomenon hyperglycaemia that an 8.3% HbA1c might underestimate, and CGM will reveal if morning spikes need bedtime basal-insulin adjustment.",[],[],[]
6,My LDL cholesterol was 162 mg/dL and my HDL was 36 mg/dL in my last blood test.,11,rule,Discuss LDL reduction with your doctor: LDL above 130 mg/dL,Discuss LDL reduction with your doctor: LDL above 130 mg/dL,[],[],[]
6,My LDL cholesterol was 162 mg/dL and my HDL was 36 mg/dL in my last blood test.,12,rule,Increase physical activity to raise HDL: current HDL below 40 mg/dL,Increase physical activity to raise HDL: current HDL below 40 mg/dL,[],[],[]
6,My LDL cholesterol was 162 mg/dL and my HDL was 36 mg/dL in my last blood test.,13,llm,"Ask your GP for a referral to a certified diabetes-educator led “sick-day rules” session: HbA1c 8.3 % plus 5-hour sleep and high work stress triples infection risk, and knowing how to adjust insulin/fluids before illness strikes prevents the DKA admissions common in under-slept male smokers.","[LLM] Ask your GP for a referral to a certified diabetes-educator led “sick-day rules” session: HbA1c 8.3 % plus 5-hour sleep and high work stress triples infection risk, and knowing how to adjust insulin/fluids before illness strikes prevents the DKA admissions common in under-slept male smokers.",[],[],[]
7,I do not exercise at all. I sit at a desk for 10 hours a day.,14,llm,"Ask your GP for a referral to a clinical psychologist for a brief insomnia-smoking intervention: chronic 5-hour sleep plus 20-year smoking history doubles the risk of treatment-resistant depression and poor diabetes self-care, and combined CBT-I plus smoking-cessation counselling improves both sleep duration and glycaemic control within 8 weeks.","[LLM] Ask your GP for a referral to a clinical psychologist for a brief insomnia-smoking intervention: chronic 5-hour sleep plus 20-year smoking history doubles the risk of treatment-resistant depression and poor diabetes self-care, and combined CBT-I plus smoking-cessation counselling improves both sleep duration and glycaemic control within 8 weeks.",[],[],[]
8,My abdominal circumference was measured at 108 cm at my last appointment.,15,rule,Reduce abdominal circumference through diet and exercise: central obesity detected,Reduce abdominal circumference through diet and exercise: central obesity detected,[],[],[]
8,My abdominal circumference was measured at 108 cm at my last appointment.,16,llm,"Ask your GP for a 2-week prescription of 10 mg empagliflozin taken at 07:00 h: the combination of 5-hour sleep, desk-bound 10-hour shifts and an 8.3% HbA1c creates a morning surge in glucose and blood pressure; early-day SGLT2 inhibition lowers both post-prandial glucose and systolic BP by ~5 mmHg without risking hypoglycaemia after a skipped lunch.","[LLM] Ask your GP for a 2-week prescription of 10 mg empagliflozin taken at 07:00 h: the combination of 5-hour sleep, desk-bound 10-hour shifts and an 8.3% HbA1c creates a morning surge in glucose and blood pressure; early-day SGLT2 inhibition lowers both post-prandial glucose and systolic BP by ~5 mmHg without risking hypoglycaemia after a skipped lunch.",[],[],[]
9,Can you save my weight as 102 kg and my blood pressure as 155/95?,17,rule,Try to do more exercise to reduce weight,Try to do more exercise to reduce weight,[],[],[]
9,Can you save my weight as 102 kg and my blood pressure as 155/95?,18,llm,"Ask your GP for a referral to a vascular lab ankle-brachial index (ABI) test: 20-year smoking history plus LDL 162 mg/dL and 108 cm waist already predicts early peripheral artery disease, and detecting it now prevents silent progression to foot ulcers in diabetes.","[LLM] Ask your GP for a referral to a vascular lab ankle-brachial index (ABI) test: 20-year smoking history plus LDL 162 mg/dL and 108 cm waist already predicts early peripheral artery disease, and detecting it now prevents silent progression to foot ulcers in diabetes.",[],[],[]
10,My Framingham score came out at 23 percent according to my cardiologist. He said it was high.,19,rule,Urgent cardiology review: Framingham 10-year cardiovascular risk ≥20%,Urgent cardiology review: Framingham 10-year cardiovascular risk ≥20%,[],[],[]
10,My Framingham score came out at 23 percent according to my cardiologist. He said it was high.,20,llm,"Ask your GP for a prescription-strength vitamin D3 (5 000 IU/day) recheck in 8 weeks: 5-hour sleep + central obesity + smoking + uncontrolled diabetes all deplete 25-OH-D levels <20 ng/mL, and low vitamin D independently worsens insulin resistance and delays wound healing in diabetic smokers.","[LLM] Ask your GP for a prescription-strength vitamin D3 (5 000 IU/day) recheck in 8 weeks: 5-hour sleep + central obesity + smoking + uncontrolled diabetes all deplete 25-OH-D levels <20 ng/mL, and low vitamin D independently worsens insulin resistance and delays wound healing in diabetic smokers.",[],[],[]
