turn_index,conversation_text,task_id,task_source,task_text,raw_task_text,likert_score,rating_label,short_reason,judge_error
1,I am 47 years old and my name is Carlos. I weigh 102 kg and I am 1.74 m tall.,1,llm,"Monitor and record daily food intake for 1 week to establish a baseline diet quality, given unknown diet quality and potential impact on weight management and overall health","[LLM] Monitor and record daily food intake for 1 week to establish a baseline diet quality, given unknown diet quality and potential impact on weight management and overall health",5,excellent match,"The task is directly relevant to the user's query, providing a clear action for potential weight management and health improvement given the user's weight and height.",
2,"My doctor told me last week that I have high blood pressure, around 155 over 95.",2,rule,Seek hypertension evaluation: systolic BP ≥140 mmHg,Seek hypertension evaluation: systolic BP ≥140 mmHg,4,good match,"The task directly addresses the user's high blood pressure reading (155/95) by recommending a hypertension evaluation, which is clinically appropriate and actionable.",
2,"My doctor told me last week that I have high blood pressure, around 155 over 95.",3,llm,"Given the recent diagnosis of high blood pressure and lack of information on daily exercise, consider starting with short, manageable physical activity sessions of 10-15 minutes, 3 times a week, to help lower blood pressure and improve overall cardiovascular health","[LLM] Given the recent diagnosis of high blood pressure and lack of information on daily exercise, consider starting with short, manageable physical activity sessions of 10-15 minutes, 3 times a week, to help lower blood pressure and improve overall cardiovascular health",4,good match,"The task is relevant and provides a specific, actionable plan to help manage high blood pressure. However, it makes an assumption about the user's current exercise habits not mentioned in the query.",
3,I was recently diagnosed with type 2 diabetes. My HbA1c came back at 8.3 percent.,4,rule,Consult your doctor: HbA1c above 6.5% — diabetes screening recommended,Consult your doctor: HbA1c above 6.5% — diabetes screening recommended,2,weak match,The task is generic and not specifically tailored to the user's situation of already being diagnosed with type 2 diabetes.,
3,I was recently diagnosed with type 2 diabetes. My HbA1c came back at 8.3 percent.,5,rule,Schedule endocrinology review: HbA1c above target (>7%) for diabetic patient,Schedule endocrinology review: HbA1c above target (>7%) for diabetic patient,5,excellent match,The task directly addresses the user's query with a relevant and actionable suggestion that is clinically appropriate.,
3,I was recently diagnosed with type 2 diabetes. My HbA1c came back at 8.3 percent.,6,llm,"Adjust medication adherence and monitor for potential drug interactions between diabetes and hypertension medications, given the recent diagnosis of both conditions and the need to manage both HbA1c and blood pressure levels effectively","[LLM] Adjust medication adherence and monitor for potential drug interactions between diabetes and hypertension medications, given the recent diagnosis of both conditions and the need to manage both HbA1c and blood pressure levels effectively",2,weak match,"The task introduces concerns about hypertension and drug interactions not supported by the user's query, which only mentions type 2 diabetes and HbA1c levels.",
4,"I smoke about half a pack a day, maybe 10 cigarettes. I have been smoking for 20 years.",7,rule,Enrol in a smoking cessation programme to significantly reduce cardiovascular risk,Enrol in a smoking cessation programme to significantly reduce cardiovascular risk,5,excellent match,"The task directly addresses the user's smoking habit, is supported by the query, and is clinically appropriate for reducing cardiovascular risk.",
4,"I smoke about half a pack a day, maybe 10 cigarettes. I have been smoking for 20 years.",8,llm,"Consider a comprehensive foot care programme to prevent diabetic foot complications, given the recent diagnosis of type 2 diabetes and long history of smoking, which can impair circulation and wound healing","[LLM] Consider a comprehensive foot care programme to prevent diabetic foot complications, given the recent diagnosis of type 2 diabetes and long history of smoking, which can impair circulation and wound healing",2,weak match,"The task introduces information not present in the query, specifically a diagnosis of type 2 diabetes and concerns about diabetic foot complications, which are not mentioned or implied by the user's statement about smoking.",
5,I usually sleep around 5 hours a night because of work stress. I feel exhausted all the time.,9,rule,Try to get more sleep to reduce blood pressure,Try to get more sleep to reduce blood pressure,3,moderate match,"The task correctly targets the user's lack of sleep and exhaustion, but adds an unrelated goal of reducing blood pressure, which is not mentioned in the query, making the suggestion only partially relevant.",
5,I usually sleep around 5 hours a night because of work stress. I feel exhausted all the time.,10,llm,"Consider consulting a pulmonary specialist to assess potential chronic obstructive pulmonary disease (COPD) or other respiratory issues, given 20 years of smoking history and potential impact on overall health and management of existing conditions","[LLM] Consider consulting a pulmonary specialist to assess potential chronic obstructive pulmonary disease (COPD) or other respiratory issues, given 20 years of smoking history and potential impact on overall health and management of existing conditions",1,very poor match,"The task introduces a new topic of smoking history and respiratory issues not mentioned in the query, making it irrelevant to the current user query about work stress and sleep deprivation.",
6,My LDL cholesterol was 162 mg/dL and my HDL was 36 mg/dL in my last blood test.,11,rule,Discuss LDL reduction with your doctor: LDL above 130 mg/dL,Discuss LDL reduction with your doctor: LDL above 130 mg/dL,4,good match,"The task is directly relevant and actionable based on the user's LDL level being above 130 mg/dL, and it is clinically appropriate.",
6,My LDL cholesterol was 162 mg/dL and my HDL was 36 mg/dL in my last blood test.,12,rule,Increase physical activity to raise HDL: current HDL below 40 mg/dL,Increase physical activity to raise HDL: current HDL below 40 mg/dL,4,good match,"The task directly addresses the low HDL level mentioned in the query, is actionable, and clinically appropriate.",
6,My LDL cholesterol was 162 mg/dL and my HDL was 36 mg/dL in my last blood test.,13,llm,"Consider a stress management programme to address the interplay between high blood pressure, poor sleep, and type 2 diabetes management, as chronic stress can exacerbate HbA1c levels and cardiovascular risk","[LLM] Consider a stress management programme to address the interplay between high blood pressure, poor sleep, and type 2 diabetes management, as chronic stress can exacerbate HbA1c levels and cardiovascular risk",1,very poor match,"The task introduces unrelated topics not supported by the query, which only discusses cholesterol levels.",
7,I do not exercise at all. I sit at a desk for 10 hours a day.,14,rule,Try to do more exercise to reduce weight,Try to do more exercise to reduce weight,2,weak match,The task is relevant but generic and not specifically tailored to the user's query about their sedentary lifestyle.,
7,I do not exercise at all. I sit at a desk for 10 hours a day.,15,llm,"Consider a stress-reducing mindfulness programme to address the interplay between work stress, poor sleep, and elevated HbA1c levels, as chronic stress can exacerbate diabetes management and cardiovascular risk","[LLM] Consider a stress-reducing mindfulness programme to address the interplay between work stress, poor sleep, and elevated HbA1c levels, as chronic stress can exacerbate diabetes management and cardiovascular risk",2,weak match,"The task introduces specific health concerns (poor sleep, elevated HbA1c) not mentioned in the user's query and assumes a health context that isn't provided, making it only weakly relevant to the stated lack of exercise and prolonged sitting.",
8,My abdominal circumference was measured at 108 cm at my last appointment.,16,rule,Reduce abdominal circumference through diet and exercise: central obesity detected,Reduce abdominal circumference through diet and exercise: central obesity detected,2,weak match,"The task assumes a health concern (central obesity) and a desire to reduce circumference, which are not explicitly stated in the user's query; it makes an unsupported leap beyond the provided measurement.",
8,My abdominal circumference was measured at 108 cm at my last appointment.,17,llm,"Consider a comprehensive eye examination to detect potential diabetic retinopathy, given the diagnosis of type 2 diabetes with an HbA1c of 8.3% and a 20-year smoking history, which increases the risk of vision complications","[LLM] Consider a comprehensive eye examination to detect potential diabetic retinopathy, given the diagnosis of type 2 diabetes with an HbA1c of 8.3% and a 20-year smoking history, which increases the risk of vision complications",1,very poor match,The task is irrelevant to the user's query about abdominal circumference and seems to be a generic suggestion unrelated to the current query.,
9,Can you save my weight as 102 kg and my blood pressure as 155/95?,18,llm,"Consider a renal function test to assess potential kidney damage due to uncontrolled diabetes (HbA1c 8.3%) and high blood pressure (155/95 mmHg), given the potential for diabetic nephropathy and hypertensive nephrosclerosis","[LLM] Consider a renal function test to assess potential kidney damage due to uncontrolled diabetes (HbA1c 8.3%) and high blood pressure (155/95 mmHg), given the potential for diabetic nephropathy and hypertensive nephrosclerosis",1,very poor match,"The task introduces unrelated information about diabetes and kidney damage, which is not supported by the user's query about saving their weight and blood pressure.",
10,My Framingham score came out at 23 percent according to my cardiologist. He said it was high.,19,rule,Urgent cardiology review: Framingham 10-year cardiovascular risk ≥20%,Urgent cardiology review: Framingham 10-year cardiovascular risk ≥20%,4,good match,"The task is relevant and directly related to the user's high Framingham score of 23 percent. It is specific, actionable, and clinically appropriate.",
10,My Framingham score came out at 23 percent according to my cardiologist. He said it was high.,20,llm,"Consider a potassium-rich diet to help manage high blood pressure, given the diagnosis of hypertension and the potential for cardiovascular risk reduction through dietary modifications","[LLM] Consider a potassium-rich diet to help manage high blood pressure, given the diagnosis of hypertension and the potential for cardiovascular risk reduction through dietary modifications",2,weak match,"The task is somewhat generic and not directly tied to the specific Framingham score mentioned in the query, though it does address cardiovascular risk reduction.",
