turn_index,conversation_text,task_id,task_source,task_text,raw_task_text,likert_score,rating_label,short_reason,judge_error
1,I am 47 years old and my name is Carlos. I weigh 102 kg and I am 1.74 m tall.,1,llm,"Monitor and record daily food intake for 1 week to establish a baseline diet quality, given unknown diet quality and potential impact on weight management and overall health","[LLM] Monitor and record daily food intake for 1 week to establish a baseline diet quality, given unknown diet quality and potential impact on weight management and overall health",2,weak match,The user only provided demographics; no concern about diet or weight management was voiced. Recommending a diet diary is premature without any indication of dietary issues or goals.,
2,"My doctor told me last week that I have high blood pressure, around 155 over 95.",2,rule,Seek hypertension evaluation: systolic BP ≥140 mmHg,Seek hypertension evaluation: systolic BP ≥140 mmHg,3,moderate match,"The user already reports a prior diagnosis and provides a specific reading, so asking them to 'seek evaluation' for the same condition adds little value; the task is only loosely tied to what they need next.",
2,"My doctor told me last week that I have high blood pressure, around 155 over 95.",3,llm,"Given the recent diagnosis of high blood pressure and lack of information on daily exercise, consider starting with short, manageable physical activity sessions of 10-15 minutes, 3 times a week, to help lower blood pressure and improve overall cardiovascular health","[LLM] Given the recent diagnosis of high blood pressure and lack of information on daily exercise, consider starting with short, manageable physical activity sessions of 10-15 minutes, 3 times a week, to help lower blood pressure and improve overall cardiovascular health",2,weak match,"The query only mentions a new hypertension diagnosis; there is no prompt asking for lifestyle advice, and the patient hasn't been asked about their current medication, so prescribing exercise as a first-line intervention is premature and essentially ungrounded in the user’s actual request.",
3,I was recently diagnosed with type 2 diabetes. My HbA1c came back at 8.3 percent.,4,rule,Consult your doctor: HbA1c above 6.5% — diabetes screening recommended,Consult your doctor: HbA1c above 6.5% — diabetes screening recommended,1,very poor match,"The user already has a confirmed diagnosis and an HbA1c of 8.3%, so suggesting diabetes screening is clinically irrelevant and nonsensical.",
3,I was recently diagnosed with type 2 diabetes. My HbA1c came back at 8.3 percent.,5,rule,Schedule endocrinology review: HbA1c above target (>7%) for diabetic patient,Schedule endocrinology review: HbA1c above target (>7%) for diabetic patient,5,excellent match,"The task directly targets the 8.3% HbA1c stated in the query, which exceeds the guideline threshold of 7%; an endocrine referral is evidence-based and actionable for this newly-diagnosed patient.",
3,I was recently diagnosed with type 2 diabetes. My HbA1c came back at 8.3 percent.,6,llm,"Adjust medication adherence and monitor for potential drug interactions between diabetes and hypertension medications, given the recent diagnosis of both conditions and the need to manage both HbA1c and blood pressure levels effectively","[LLM] Adjust medication adherence and monitor for potential drug interactions between diabetes and hypertension medications, given the recent diagnosis of both conditions and the need to manage both HbA1c and blood pressure levels effectively",2,weak match,"The user mentions only a diabetes diagnosis and HbA1c; the task assumes an additional hypertension diagnosis not stated in the query, making it poorly grounded for this turn.",
4,"I smoke about half a pack a day, maybe 10 cigarettes. I have been smoking for 20 years.",7,rule,Enrol in a smoking cessation programme to significantly reduce cardiovascular risk,Enrol in a smoking cessation programme to significantly reduce cardiovascular risk,4,good match,"The user disclosed daily long-term smoking, so suggesting cessation is highly relevant and clinically appropriate. It could be more tailored (e.g., half-pack/day specifics), but it directly addresses the user's stated behavior.",
4,"I smoke about half a pack a day, maybe 10 cigarettes. I have been smoking for 20 years.",8,llm,"Consider a comprehensive foot care programme to prevent diabetic foot complications, given the recent diagnosis of type 2 diabetes and long history of smoking, which can impair circulation and wound healing","[LLM] Consider a comprehensive foot care programme to prevent diabetic foot complications, given the recent diagnosis of type 2 diabetes and long history of smoking, which can impair circulation and wound healing",1,very poor match,"The query only mentions smoking history; it says nothing about diabetes, foot issues, or any need for diabetic foot care, making this task completely unsupported.",
5,I usually sleep around 5 hours a night because of work stress. I feel exhausted all the time.,9,rule,Try to get more sleep to reduce blood pressure,Try to get more sleep to reduce blood pressure,2,weak match,The user already knows they need more sleep; the task offers no actionable guidance for achieving it and introduces an unsupported blood-pressure concern.,
5,I usually sleep around 5 hours a night because of work stress. I feel exhausted all the time.,10,llm,"Consider consulting a pulmonary specialist to assess potential chronic obstructive pulmonary disease (COPD) or other respiratory issues, given 20 years of smoking history and potential impact on overall health and management of existing conditions","[LLM] Consider consulting a pulmonary specialist to assess potential chronic obstructive pulmonary disease (COPD) or other respiratory issues, given 20 years of smoking history and potential impact on overall health and management of existing conditions",1,very poor match,"The query blames work stress and 5-hour sleep for exhaustion; no mention of smoking, COPD, or pulmonary symptoms. The task introduces unsupported medical leaps and is irrelevant to the stated problem.",
